" Celle verdi indicano viaggi già effettuati, celle rosse i pagamenti ancora da effettuare, celle arancioni viaggi confermati ma ancora effettuati",,,,, Prenotazioni PROGRAMMATE,,,,, PARENTE VIAGGI,,
,,,,, Importo già saldato,, Da saldare, Totale programmato,,,,
,,,,,"€ 264.242,82",,"€ 6.146,03","€ 270.388,85",,,,
,Data partenza,Data rientro,Evento,,Capienza bus,numero autisti, Costo Noleggio, Costo ZTL/parcheggio,Fattura numero:, Pagata:, Data pagamento, Note
165,15/09/2025,, ticket mirabilandia,, 110+10 omaggio,," € 2.629,00 ",,447," € 2.629,00 ",09/10/2025,
166,27/09,28/09/2025, Montebello di B./Lecce,,,," € 2.400,00 ",,468," € 2.400,00 ",09/10/2025,
167,03/10/25,10/10/2025, Porto Ancona - grp Picelli,," € 50,00 ",," € 1.450,00 ",,480," € 1.450,00 ",12/11/2025,
168,24/10/2025,, Tkt Mirabilandia,," € 319,00 ",,," € 7.624,10 ",503," € 7.624,10 ",24/10/2025, 319 tkt + 31 omaggio
169,25/10/2025,, bosco di  s antonio,," € 50,00 ",," € 750,00 ",,506," € 750,00 ",12/11/2025, inviati da nuovo conto bancario
170,26/10/2025,, Terme  Tuscia,,,," € 1.500,00 ",,509," € 1.500,00 ",12/11/2025, inviati da nuovo conto bancario
171,26/10/2025,, Napoli,," € 60,00 ",1," € 1.050,00 "," € 122,00 ",511," € 1.172,00 ",13/11/2025, inviati da deuteske (istantaneo)
172,31/10/2025,, mirabilandia,," € 63,00 ",," € 1.200,00 ",,518," € 1.200,00 ",13/11/2025, inviati da deuteske (istantaneo)
173,31/10/2025,02/11/2025, lucca Comics,," € 62,00 ",," € 2.200,00 "," € 493,00 ",521," € 2.693,00 ",13/11/2025, inviati da deuteske (istantaneo)
174,31/10/2025,, Reso ticket mirabilandia,," € -27,00 ",,," € -645,30 ",9/NC," € -645,30 ",,
175,01/11/2025,, mirabilandia  2   bus,," € 62,00 ",," € 2.400,00 ",,520," € 2.400,00 ",13/11/2025," da  scalare  27  biglietti  gia' pagati ,  inviati da deuteske (istantaneo)"
176,08/11/2025,, Napoli,," € 62,00 ",," € 1.050,00 "," € 122,00 ",531," € 1.172,00 ",16/12/25," fatture : 9/NC   531  534  539  550       bonifico istantaneo tornato indietro, effettuato 17 dicembre bonifico ordinario"
177,14/11/2025,, mostra faraoni,," € 63,00 ",1," € 1.100,00 "," € 50,00 ",534," € 1.150,00 ",16/12/25,
178,16/11/2025,, napoli,," € 63,00 ",," € 1.050,00 "," € 122,00 ",539," € 1.172,00 ",16/12/25,
179,23/11/2025,, napoli,," € 63,00 ",," € 1.050,00 "," € 122,00 ",550," € 1.172,00 ",16/12/25,
180,29/11/2025,, napoli,," € 50,00 ",1," € 1.050,00 "," € 122,00 ",554,,,
181,30/11/2025,, san marino,," € 60,00 ",2," € 1.352,03 ",,560,,,
182,08/12/2025,, napoli,," € 63,00 ",," € 1.050,00 "," € 122,00 ",567,,,
183,13/12/2025,, Gaeta e Sperlonga,," € 60,00 ",2," € 1.500,00 ",,571,,,
184,13/12/2025,, ndocciata,," € 60,00 ",1," € 900,00 "," € 50,00 ",572,,,
185,,, abetone,," € 50,00 ",2," € 2.200,00 ", ?,,,,
186,,, OVINDOLI,, 30/50,1," € 700,00 "," € 50,00 ",,,, Prezzo riferito a bus 50 pt / Eventuale 30 pt -10%
187,,, Roma  ,,,," € 1.050,00 "," € 50,00 ",,,,
188,,, Roma,,,," € 1.600,00 "," € 535,00 ",,,,
189,,, Reggia di Caserta,," € 50,00 ",," € 1.200,00 ",,,,, concerto
190,,, Barletta,," € 50,00 ",1 aut," € 1.200,00 ",,,,, concerto
191,,, Campobasso,," € 50,00 ",1 aut ," € 1.000,00 ",,,,, concerto
192,,, San Benedetto,," € 50,00 ",1 aut ," € 900,00 ",,,,, concerto
193,,, Perugia,," € 50,00 ",1 aut ," € 1.100,00 ",,,,, concerto
194,,, Porto recanati,," € 50,00 ",1 aut ," € 900,00 ",,,,, concerto
195,,, Benevento,," € 50,00 ",1 aut ," € 1.200,00 ",,,,, concerto
196,,, Ferrara,," € 50,00 ",1 aut ," € 1.900,00 ",,,,, concerto
197,,, Cascia - Santa rita,," € 30,00 ",2 aut," € 1.200,00 ",,,,," partenza da vasto nord a cascia in giornata
partenza ore 06:00 rientro partenza ore 18:00"
198,,, salerno,," € 50,00 ",1," € 1.400,00 ",,,,, concerto/ 9 ore di fermo
199,,, mirabilandia,," € 60,00 ",2," € 1.050,00 "," € 122,00 ",,,,
